"","tissue_roi1","tissue_roi2","tissue_roi3","tissue_roi4","roi_label"
"290",FALSE,FALSE,FALSE,FALSE,NA
"291",FALSE,FALSE,FALSE,FALSE,NA
"292",FALSE,FALSE,FALSE,FALSE,NA
"293",FALSE,FALSE,FALSE,FALSE,NA
"294",FALSE,FALSE,FALSE,FALSE,NA
"295",FALSE,FALSE,FALSE,FALSE,NA
"296",FALSE,FALSE,FALSE,FALSE,NA
"297",FALSE,FALSE,FALSE,FALSE,NA
"298",FALSE,FALSE,FALSE,FALSE,NA
"299",FALSE,FALSE,FALSE,FALSE,NA
"300",FALSE,FALSE,FALSE,FALSE,NA
"301",FALSE,FALSE,FALSE,FALSE,NA
"302",FALSE,FALSE,FALSE,FALSE,NA
"303",FALSE,FALSE,FALSE,FALSE,NA
"304",FALSE,FALSE,FALSE,FALSE,NA
"305",FALSE,FALSE,FALSE,FALSE,NA
"306",FALSE,FALSE,FALSE,FALSE,NA
"307",FALSE,FALSE,FALSE,FALSE,NA
"308",FALSE,FALSE,FALSE,FALSE,NA
"309",FALSE,FALSE,FALSE,FALSE,NA
"310",FALSE,FALSE,FALSE,FALSE,NA
"311",FALSE,FALSE,FALSE,FALSE,NA
"312",FALSE,FALSE,FALSE,FALSE,NA
"313",FALSE,FALSE,FALSE,FALSE,NA
"314",FALSE,FALSE,FALSE,FALSE,NA
"315",FALSE,FALSE,FALSE,FALSE,NA
"316",FALSE,FALSE,FALSE,FALSE,NA
"317",FALSE,FALSE,FALSE,FALSE,NA
"318",FALSE,FALSE,FALSE,FALSE,NA
"319",FALSE,FALSE,FALSE,FALSE,NA
"320",FALSE,FALSE,FALSE,FALSE,NA
"321",FALSE,FALSE,FALSE,FALSE,NA
"322",FALSE,FALSE,FALSE,FALSE,NA
"323",FALSE,FALSE,FALSE,FALSE,NA
"324",FALSE,FALSE,FALSE,FALSE,NA
"325",FALSE,FALSE,FALSE,FALSE,NA
"326",FALSE,FALSE,FALSE,FALSE,NA
"327",FALSE,FALSE,FALSE,FALSE,NA
"328",FALSE,FALSE,FALSE,FALSE,NA
"329",FALSE,FALSE,FALSE,FALSE,NA
"330",FALSE,FALSE,FALSE,FALSE,NA
"331",FALSE,FALSE,FALSE,FALSE,NA
"332",FALSE,FALSE,FALSE,FALSE,NA
"333",FALSE,FALSE,FALSE,FALSE,NA
"334",FALSE,FALSE,FALSE,FALSE,NA
"335",FALSE,FALSE,FALSE,FALSE,NA
"336",FALSE,FALSE,FALSE,FALSE,NA
"337",FALSE,FALSE,FALSE,FALSE,NA
"338",FALSE,FALSE,FALSE,FALSE,NA
"339",FALSE,FALSE,FALSE,FALSE,NA
"340",FALSE,FALSE,FALSE,FALSE,NA
"341",FALSE,FALSE,FALSE,FALSE,NA
"342",FALSE,FALSE,FALSE,FALSE,NA
"343",FALSE,FALSE,FALSE,FALSE,NA
"344",FALSE,FALSE,FALSE,FALSE,NA
"345",FALSE,FALSE,FALSE,FALSE,NA
"346",FALSE,FALSE,FALSE,FALSE,NA
"347",FALSE,FALSE,FALSE,FALSE,NA
"348",FALSE,FALSE,FALSE,FALSE,NA
"349",FALSE,FALSE,FALSE,FALSE,NA
"350",FALSE,FALSE,FALSE,FALSE,NA
"351",FALSE,FALSE,FALSE,FALSE,NA
"352",FALSE,FALSE,FALSE,FALSE,NA
"353",FALSE,FALSE,FALSE,FALSE,NA
"354",FALSE,FALSE,FALSE,FALSE,NA
"355",FALSE,FALSE,FALSE,FALSE,NA
"356",FALSE,FALSE,FALSE,FALSE,NA
"357",FALSE,FALSE,FALSE,FALSE,NA
"358",FALSE,FALSE,FALSE,FALSE,NA
"359",FALSE,FALSE,FALSE,FALSE,NA
"360",FALSE,FALSE,FALSE,FALSE,NA
"361",FALSE,FALSE,FALSE,FALSE,NA
"362",FALSE,FALSE,FALSE,FALSE,NA
"363",FALSE,FALSE,FALSE,FALSE,NA
"364",FALSE,FALSE,FALSE,FALSE,NA
"365",FALSE,FALSE,FALSE,FALSE,NA
"366",FALSE,FALSE,FALSE,FALSE,NA
"367",FALSE,FALSE,FALSE,FALSE,NA
"368",FALSE,FALSE,FALSE,FALSE,NA
"369",FALSE,FALSE,FALSE,FALSE,NA
"370",FALSE,FALSE,FALSE,FALSE,NA
"371",FALSE,FALSE,FALSE,FALSE,NA
"372",FALSE,FALSE,FALSE,FALSE,NA
"373",FALSE,FALSE,FALSE,FALSE,NA
"374",FALSE,FALSE,FALSE,FALSE,NA
"375",FALSE,FALSE,FALSE,FALSE,NA
"376",FALSE,FALSE,FALSE,FALSE,NA
"377",FALSE,FALSE,FALSE,FALSE,NA
"378",FALSE,FALSE,FALSE,FALSE,NA
"379",FALSE,FALSE,FALSE,FALSE,NA
"380",FALSE,FALSE,FALSE,FALSE,NA
"381",FALSE,FALSE,FALSE,FALSE,NA
"382",FALSE,FALSE,FALSE,FALSE,NA
"383",FALSE,FALSE,FALSE,FALSE,NA
"384",FALSE,FALSE,FALSE,FALSE,NA
"385",FALSE,FALSE,FALSE,FALSE,NA
"386",FALSE,FALSE,FALSE,FALSE,NA
"387",FALSE,FALSE,FALSE,FALSE,NA
"388",FALSE,FALSE,FALSE,FALSE,NA
"389",FALSE,FALSE,FALSE,FALSE,NA
"390",FALSE,FALSE,FALSE,FALSE,NA
"391",FALSE,FALSE,FALSE,FALSE,NA
"392",FALSE,FALSE,FALSE,FALSE,NA
"393",FALSE,FALSE,FALSE,FALSE,NA
"394",FALSE,FALSE,FALSE,FALSE,NA
"395",FALSE,FALSE,FALSE,FALSE,NA
"396",FALSE,FALSE,FALSE,FALSE,NA
"397",FALSE,FALSE,FALSE,FALSE,NA
"398",FALSE,FALSE,FALSE,FALSE,NA
"399",FALSE,FALSE,FALSE,FALSE,NA
"400",FALSE,FALSE,FALSE,FALSE,NA
"401",FALSE,FALSE,FALSE,FALSE,NA
"402",FALSE,FALSE,FALSE,FALSE,NA
"403",FALSE,FALSE,FALSE,FALSE,NA
"404",FALSE,FALSE,FALSE,FALSE,NA
"405",FALSE,FALSE,FALSE,FALSE,NA
"406",FALSE,FALSE,FALSE,FALSE,NA
"407",FALSE,FALSE,FALSE,FALSE,NA
"408",FALSE,FALSE,FALSE,FALSE,NA
"409",FALSE,FALSE,FALSE,FALSE,NA
"410",FALSE,FALSE,FALSE,FALSE,NA
"411",FALSE,FALSE,FALSE,FALSE,NA
"412",FALSE,FALSE,FALSE,FALSE,NA
"413",FALSE,FALSE,FALSE,FALSE,NA
"414",FALSE,FALSE,FALSE,FALSE,NA
"415",FALSE,FALSE,FALSE,FALSE,NA
"416",FALSE,FALSE,FALSE,FALSE,NA
"417",FALSE,FALSE,FALSE,FALSE,NA
"418",FALSE,FALSE,FALSE,FALSE,NA
"419",FALSE,FALSE,FALSE,FALSE,NA
"420",FALSE,FALSE,FALSE,FALSE,NA
"421",FALSE,FALSE,FALSE,FALSE,NA
"422",FALSE,FALSE,FALSE,FALSE,NA
"423",FALSE,FALSE,FALSE,FALSE,NA
"424",FALSE,FALSE,FALSE,FALSE,NA
"425",FALSE,FALSE,FALSE,FALSE,NA
"426",FALSE,FALSE,FALSE,FALSE,NA
"427",FALSE,FALSE,FALSE,FALSE,NA
"428",FALSE,FALSE,FALSE,FALSE,NA
"429",FALSE,FALSE,FALSE,FALSE,NA
"430",FALSE,FALSE,FALSE,FALSE,NA
"431",FALSE,FALSE,FALSE,FALSE,NA
"432",FALSE,FALSE,FALSE,FALSE,NA
"433",FALSE,FALSE,FALSE,FALSE,NA
"434",FALSE,FALSE,FALSE,FALSE,NA
"435",FALSE,FALSE,FALSE,FALSE,NA
"436",FALSE,FALSE,FALSE,FALSE,NA
"437",FALSE,FALSE,FALSE,FALSE,NA
"438",FALSE,FALSE,FALSE,FALSE,NA
"439",FALSE,FALSE,FALSE,FALSE,NA
"440",FALSE,FALSE,FALSE,FALSE,NA
"441",FALSE,FALSE,FALSE,FALSE,NA
"442",FALSE,FALSE,FALSE,FALSE,NA
"443",FALSE,FALSE,FALSE,FALSE,NA
"444",FALSE,FALSE,FALSE,FALSE,NA
"445",FALSE,FALSE,FALSE,FALSE,NA
"446",FALSE,FALSE,FALSE,FALSE,NA
"447",FALSE,FALSE,FALSE,FALSE,NA
"448",FALSE,FALSE,FALSE,FALSE,NA
"449",FALSE,FALSE,FALSE,FALSE,NA
"450",FALSE,FALSE,FALSE,FALSE,NA
"451",FALSE,FALSE,FALSE,FALSE,NA
"452",FALSE,FALSE,FALSE,FALSE,NA
"453",FALSE,FALSE,FALSE,FALSE,NA
"454",FALSE,FALSE,FALSE,FALSE,NA
"455",FALSE,FALSE,FALSE,FALSE,NA
"456",FALSE,FALSE,FALSE,FALSE,NA
"457",FALSE,FALSE,FALSE,FALSE,NA
"458",FALSE,FALSE,FALSE,FALSE,NA
"459",FALSE,FALSE,FALSE,FALSE,NA
"460",FALSE,FALSE,FALSE,FALSE,NA
"461",FALSE,FALSE,FALSE,FALSE,NA
"462",FALSE,FALSE,FALSE,FALSE,NA
"463",FALSE,FALSE,FALSE,FALSE,NA
"464",FALSE,FALSE,FALSE,FALSE,NA
"465",FALSE,FALSE,FALSE,FALSE,NA
"466",FALSE,FALSE,FALSE,FALSE,NA
"467",FALSE,FALSE,FALSE,FALSE,NA
"468",FALSE,FALSE,FALSE,FALSE,NA
"469",FALSE,FALSE,FALSE,FALSE,NA
"470",FALSE,FALSE,FALSE,FALSE,NA
"471",FALSE,FALSE,FALSE,FALSE,NA
"472",FALSE,FALSE,FALSE,FALSE,NA
"473",FALSE,FALSE,FALSE,FALSE,NA
"474",FALSE,FALSE,FALSE,FALSE,NA
"475",FALSE,FALSE,FALSE,FALSE,NA
"476",FALSE,FALSE,FALSE,FALSE,NA
"477",FALSE,FALSE,FALSE,FALSE,NA
"478",FALSE,FALSE,FALSE,FALSE,NA
"479",FALSE,FALSE,FALSE,FALSE,NA
"480",FALSE,FALSE,FALSE,FALSE,NA
"481",FALSE,FALSE,FALSE,FALSE,NA
"482",FALSE,FALSE,FALSE,FALSE,NA
"483",FALSE,FALSE,FALSE,FALSE,NA
"484",FALSE,FALSE,FALSE,FALSE,NA
"485",FALSE,FALSE,FALSE,FALSE,NA
"486",FALSE,FALSE,FALSE,FALSE,NA
"487",FALSE,FALSE,FALSE,FALSE,NA
"488",FALSE,FALSE,FALSE,FALSE,NA
"489",FALSE,FALSE,FALSE,FALSE,NA
"490",FALSE,FALSE,FALSE,FALSE,NA
"491",FALSE,FALSE,FALSE,FALSE,NA
"492",FALSE,FALSE,FALSE,FALSE,NA
"493",FALSE,FALSE,FALSE,FALSE,NA
"494",FALSE,FALSE,FALSE,FALSE,NA
"495",FALSE,FALSE,FALSE,FALSE,NA
"496",FALSE,FALSE,FALSE,FALSE,NA
"497",FALSE,FALSE,FALSE,FALSE,NA
"498",FALSE,FALSE,FALSE,FALSE,NA
"499",FALSE,FALSE,FALSE,FALSE,NA
"500",FALSE,FALSE,FALSE,FALSE,NA
"501",FALSE,FALSE,FALSE,FALSE,NA
"502",FALSE,FALSE,FALSE,FALSE,NA
"503",FALSE,FALSE,FALSE,FALSE,NA
"504",FALSE,FALSE,FALSE,FALSE,NA
"505",FALSE,FALSE,FALSE,FALSE,NA
"506",FALSE,FALSE,FALSE,FALSE,NA
"507",FALSE,FALSE,FALSE,FALSE,NA
"508",FALSE,FALSE,FALSE,FALSE,NA
"509",FALSE,FALSE,FALSE,FALSE,NA
"510",FALSE,FALSE,FALSE,FALSE,NA
"511",FALSE,FALSE,FALSE,FALSE,NA
"512",FALSE,FALSE,FALSE,FALSE,NA
"513",FALSE,FALSE,FALSE,FALSE,NA
"514",FALSE,FALSE,FALSE,FALSE,NA
"515",FALSE,FALSE,FALSE,FALSE,NA
"516",FALSE,FALSE,FALSE,FALSE,NA
"517",FALSE,FALSE,FALSE,FALSE,NA
"518",FALSE,FALSE,FALSE,FALSE,NA
"519",FALSE,FALSE,FALSE,FALSE,NA
"520",FALSE,FALSE,FALSE,FALSE,NA
"521",FALSE,FALSE,FALSE,FALSE,NA
"522",FALSE,FALSE,FALSE,FALSE,NA
"523",FALSE,FALSE,FALSE,FALSE,NA
"524",FALSE,FALSE,FALSE,FALSE,NA
"525",FALSE,FALSE,FALSE,FALSE,NA
"526",FALSE,FALSE,FALSE,FALSE,NA
"527",FALSE,FALSE,FALSE,FALSE,NA
"528",FALSE,FALSE,FALSE,FALSE,NA
"529",FALSE,FALSE,FALSE,FALSE,NA
"530",FALSE,FALSE,FALSE,FALSE,NA
"531",FALSE,FALSE,FALSE,FALSE,NA
"532",FALSE,FALSE,FALSE,FALSE,NA
"533",FALSE,FALSE,FALSE,FALSE,NA
"534",FALSE,FALSE,FALSE,FALSE,NA
"535",FALSE,FALSE,FALSE,FALSE,NA
